id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
Video_games_sales16405,Bunmei Kaika: Aoiza Ibunroku Saien,PSP,FuRyu,2012-01-01,0.01,Action,,,,,,,,,,,,,,,,,,,
Video_games_sales15866,Eyeshield 21: Portable Edition,PSP,Konami Digital Entertainment,2006-01-01,0.02,Role-Playing,,,,,,,,,,,,,,,,,,,
Video_games_sales14869,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,Alchemist,2011-01-01,0.03,Adventure,,,,,,,,,,,,,,,,,,,
Video_games_sales16839,Pirate Blast,Wii,Zoo Games,2011-01-01,0.01,Misc,,,,,E10+,,,,,,,,,,,,,,
Video_games_sales16597,Saint Seiya Omega: Ultimate Cosmo,PSP,Namco Bandai Games,2012-01-01,0.01,Fighting,,,,,,,,,,,,,,,,,,,
Video_games_sales14935,Max Payne 2: The Fall of Max Payne,PC,Take-Two Interactive,2003-01-01,0.03,Shooter,86.0,9.0,,,M,,,,,,,,,,,,,,
Video_games_sales17372,Honki de Manabu: LEC de Goukaku - DS Takuchi Tatemono Torihiki Shuninsha,DS,Square Enix,2009-01-01,0.01,Misc,,,,,,,,,,,,,,,,,,,
Video_games_sales14636,Minna no Golf Jou Vol.1,PSP,Sony Computer Entertainment,2007-01-01,0.03,Sports,,,,,,,,,,,,,,,,,,,
Video_games_sales14300,Harukanaru Toki no Naka de Yumenoukihashi Special,PS2,Tecmo Koei,2009-01-01,0.03,Adventure,,,,,,,,,,,,,,,,,,,
Video_games_sales16358,Smiley World: Island Challenge,DS,Zoo Digital Publishing,2009-01-01,0.01,Puzzle,,,,,E,,,,,,,,,,,,,,
Video_games_sales17038,Time Ace,DS,Konami Digital Entertainment,2007-01-01,0.01,Simulation,52.0,,,,E10+,,,,,,,,,,,,,,
Video_games_sales17310,Devil May Cry 3: Dantes Awakening Special Edition,PC,Ubisoft,2006-01-01,0.01,Action,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_8339,Big City Stories,PS4,Hellfire Games,2016-08-23,,Simulation,,,Hellfire Games,,,
,,,,,,,,,,,,,PS4_id_7874,Corpse Party,PS4,XSEED Games,2021-10-20,,"Adventure,Point & Click",,,MAGES.,,,
,,,,,,,,,,,,,PS4_id_8553,Borneo: A Jungle Nightmare,PS4,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_9068,Making*Lovers,PS4,Entergram,2019-07-25,,Visual Novel,,,SMEE,,,
,,,,,,,,,,,,,PS4_id_9471,Mothmen 1966,PS4,,,,,,,,,,
,,,,,,,,,,,,,PS4_id_9332,Mini-Mech Mayhem,PS4,Futurlab,2019-06-18,,"Strategy,Turn Based",,,Futurlab,,,
,,,,,,,,,,,,,PS4_id_9139,MasterCube,PS4,Ertem Yazilim,2015-08-21,,Shoot 'em up,,,Ertem Yazilim,,,
,,,,,,,,,,,,,PS4_id_7951,Croc's World Run,PS4,Sprakelsoft,2019-02-28,,Platformer,,,Sprakelsoft,,,
,,,,,,,,,,,,,PS4_id_8878,Nicole (EU),PS4,Ratalaika Games,2020-07-29,,Visual Novel,,,Winter Wolves,,,
,,,,,,,,,,,,,PS4_id_8073,Vanquish,PS4,SEGA,2020-02-18,,Third Person Shooter,,,PlatinumGames,,,
,,,,,,,,,,,,,PS4_id_8144,void tRrLM(); //Void Terrarium (PS4),PS4,NIS America,2020-07-14,,"Role Playing,Turn Based,Dungeon Crawler",,,Nippon Ichi Software,,,
,,,,,,,,,,,,,PS4_id_9254,Metamorphosis,PS4,All In! Games,2020-08-12,,Adventure,,,Ovid Works,,,
